Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars)
"Chilton County, Alabama",17140,358,7.3,1.7,5,1.1,12.1,1.9,12.2,2,11.9,2.6,20.4,2.5,13.7,2,11,2,4.2,1.2,2.3,1.1,52141,4263,66434,5739
"Choctaw County, Alabama",5330,255,8.9,2.4,8.8,1.9,16.1,3.2,12.8,2.8,15.4,3.7,11,2.4,11.4,3.2,10.4,3.1,4.4,2.1,0.9,0.8,36634,2639,53709,4641
"Clarke County, Alabama",9323,439,15.4,2.7,6.7,1.9,12.3,2.5,12.8,2.6,12,2.5,15.7,2.7,8.3,1.7,8.8,1.9,5.3,2,2.8,1.1,37345,5617,59803,6354
"Clay County, Alabama",5153,269,7.8,2.4,8.5,2.3,8.8,2.8,15.5,3.5,15.5,3.9,18.2,4.4,9,2.9,12,3.2,1.9,1.3,2.8,1.5,42678,3933,62634,6409
"Cleburne County, Alabama",5835,194,11.1,2.6,3.8,1.6,15.6,3,9.1,2.5,13.1,2.3,19.6,3.6,12.2,2.5,10.2,2.1,3.7,1.3,1.5,0.8,46320,4995,60254,5025
"Coffee County, Alabama",19951,457,7.3,1.1,5.3,1,9.6,1.6,8.1,1.2,14.6,1.7,18.7,1.8,12.8,1.5,14.9,1.7,5.7,1.2,3.1,0.7,56799,3287,70669,2576
"Colbert County, Alabama",21797,514,8.8,1.4,6,1.2,12.6,1.6,10.6,1.5,13.6,1.9,19.5,2.1,12.7,1.8,11.3,1.9,3.5,1.1,1.4,0.5,47962,3470,60264,2842
"Conecuh County, Alabama",4585,297,9.1,3.2,9.4,3,10.4,3.2,20.4,4.6,16.5,4.5,13.6,3.6,10,3.2,7,2.8,1.6,1.5,2.1,1.5,35444,3137,49693,4690
"Coosa County, Alabama",4016,203,3.6,1.8,8,3,12,4.2,15.8,4.4,19.9,5,15,3.8,10.2,2.6,9.7,3.5,4.1,2.4,1.7,1.3,43571,8028,58927,6310
"Covington County, Alabama",14995,400,9.6,1.5,8.7,1.5,11.2,1.4,13,1.8,13.3,1.7,17,2.1,11.7,1.8,9,1.3,4.3,1.1,2.2,0.8,42566,2958,59947,4422
"Crenshaw County, Alabama",5011,209,11,2.4,7.6,1.8,11.6,1.9,10.3,2,17.1,3.1,14.3,2.8,11.3,2.5,11.1,2,3,1.3,2.7,1.3,42611,2556,64930,7736
"Cullman County, Alabama",31733,507,6.8,1.2,5.6,1,11.4,1.4,11.9,1.5,15.6,1.7,19.6,1.8,12.1,1.4,10.8,1.4,4.1,0.8,2.1,0.5,48388,2887,62592,2454
"Dale County, Alabama",19405,433,9,1.6,6.1,1.2,14.2,1.7,10.7,1.6,14.1,1.7,17.9,1.8,12.2,1.6,10.6,1.6,3.1,0.7,2.2,0.6,45644,3070,59235,2846
"Dallas County, Alabama",15409,422,16.5,2.6,7.4,1.5,15.2,2.7,13.9,2,12.5,2.1,15,2,8.2,1.5,8.2,1.6,2,0.6,1,0.6,33317,1786,46306,2488
"DeKalb County, Alabama",26365,479,8,1.3,6.6,1.2,13.5,1.8,13.4,1.7,15.1,1.8,18.8,1.7,10.6,1.7,9.3,1.2,2.3,0.6,2.2,0.5,42267,2236,58198,2663
"Elmore County, Alabama",29794,557,5,1,3.5,0.8,9,1.4,9.9,1.5,12,1.9,20,1.9,14.3,2,16.1,1.9,5.9,1.1,4.4,1.1,62324,3475,78932,3342
"Escambia County, Alabama",12931,629,15.3,2.1,7.4,1.6,12.7,1.9,13.9,2.4,15.3,2.7,17,2.8,7.7,1.5,6.7,1.5,2.6,0.9,1.4,0.6,35558,2902,48165,2936
"Etowah County, Alabama",38765,578,8,1,6.2,1,12.9,1.2,12.4,1.4,15.1,1.3,16.8,1.2,11.5,1.4,11.5,1.3,3.4,0.8,2.1,0.5,44934,1643,61229,1988
"Fayette County, Alabama",6805,271,8.8,2.3,9.2,2.4,14.5,3.1,12,2.4,11.8,2.7,16.6,2.9,15.5,3.5,7.7,2.1,2.2,1,1.6,1,41469,6240,55489,4360
"Franklin County, Alabama",11017,380,8,1.9,5.6,1.3,17,3.1,10.6,2.1,16.3,2.6,16.2,2.6,14,2,7.1,1.6,3.9,1.2,1.3,0.7,41174,4093,55229,3124
"Geneva County, Alabama",10572,378,8.7,2,7.9,1.8,15.5,2.7,9.4,1.9,16.5,3.4,15.1,2.6,12,2,10.9,2.4,2.7,1.2,1.4,0.9,41569,2055,54632,2930
"Greene County, Alabama",3178,229,19,6.1,9.7,3.6,17.9,6,16.4,4.9,11.7,4.1,11.4,4.2,7.1,2.6,4,2.8,1.7,1.7,1.1,1.3,26688,3196,38224,4231
"Hale County, Alabama",5490,292,15.6,3.4,11.7,2.5,14.1,3.7,11.3,3,10.6,2.5,13.8,2.5,8.9,2.5,10.6,2.5,2.5,1.4,0.9,0.7,30793,5559,50342,4853
"Henry County, Alabama",6556,285,7.7,1.9,6.2,2.1,13.4,2.4,10.5,1.9,10.8,2.3,19,2.9,13.3,2.8,12.6,2.6,3.7,1.1,2.9,1.6,51715,3572,64672,4486
"Houston County, Alabama",39784,366,7.8,0.5,6.1,0.6,11.8,0.7,10.7,0.8,14.3,0.8,16.8,0.8,11.6,0.8,12.3,0.6,4.5,0.5,4.1,0.5,49069,1379,69728,1821
"Jackson County, Alabama",20367,519,8.2,1.3,7.9,1.3,12.3,1.7,13,1.9,14.7,2.1,18.8,2.3,9.3,1.4,11.7,1.7,2,0.5,2,0.7,42578,2418,57723,2437
"Jefferson County, Alabama",263801,1463,8.4,0.5,4.9,0.3,9.7,0.6,10.1,0.5,12.7,0.6,17.3,0.7,11.4,0.6,13.5,0.5,5.4,0.4,6.6,0.4,55088,1091,81248,1421
"Lamar County, Alabama",5631,266,9.6,3.1,9.8,3,12.5,3,11.9,3.2,15.3,3.8,15.7,3.2,8.4,2.5,13.8,2.9,2,1.3,1,0.7,42688,5653,53482,4181
"Lauderdale County, Alabama",38513,524,6.9,1,4.9,0.9,12.8,1.3,12.2,1.5,14.2,1.4,17.2,1.6,13.1,1.2,12.1,1.4,3.5,1,3,0.6,48428,2729,66737,3206
"Lawrence County, Alabama",12551,349,6.9,1.6,5,1.2,13.2,2,11.6,2.1,15.1,2.1,20.5,2.6,9.2,2.1,12,2.2,3.8,1.2,2.8,1.4,47125,3694,61591,3345
"Lee County, Alabama",60731,889,12.6,1.1,4.7,0.8,10.2,1,9.5,1.2,11.1,1.1,16,1.3,11.3,1.1,14.2,1.1,5.5,0.7,4.9,0.8,52930,3248,74869,3574
"Limestone County, Alabama",32725,538,6.1,1.4,3.7,0.6,9.4,1.1,8.6,1.2,12.4,1.6,16.5,1.9,16.1,2.1,15.8,1.5,6.5,1.1,5,1,64270,4043,79507,3099
"Lowndes County, Alabama",4213,229,10.8,2.9,11.9,2.6,19.2,4.3,8.8,2.2,15.5,3.6,14.2,3.8,7,2.1,8.9,2.5,1.8,1,1.8,1.1,33634,5649,49686,3739
"Macon County, Alabama",7592,288,14.4,2.6,6.5,1.6,14.8,2.5,13.8,2.6,14.3,2.2,14.7,2.5,8.6,1.8,7.6,1.5,2.8,1.2,2.5,1,35450,3140,53763,3673
"Madison County, Alabama",151628,957,5.1,0.5,4.5,0.4,8.5,0.6,8.9,0.7,11.7,0.8,15.7,0.8,12,0.8,16.4,0.6,9.2,0.7,8,0.7,66887,1747,90951,2066
"Marengo County, Alabama",7499,305,14.5,3.1,9.8,2.9,15.2,2.9,12.8,3.4,8.3,2.1,13.3,2.8,9.7,2.4,10,2.2,3.6,1.8,2.6,1.5,33029,3669,57849,11417
"Marion County, Alabama",11780,412,8.3,2.1,10.3,1.8,15.6,3.1,10.8,2.3,15,2.8,18,3,10.1,2,7.7,1.6,1.5,0.7,2.7,1.4,40978,3372,53854,3904
"Marshall County, Alabama",35115,536,6.7,0.9,6.4,0.9,11.1,1.3,9.5,1,16,1.5,18.9,1.5,11.8,1.2,12.1,1.5,3.3,0.7,4.1,0.7,50216,1709,68303,2668
"Mobile County, Alabama",157557,1279,8.9,0.6,5.3,0.4,11.9,0.7,10.5,0.7,13.8,0.9,18.3,0.8,11.3,0.6,12.2,0.7,4.4,0.5,3.4,0.3,49625,1232,67142,1463
"Monroe County, Alabama",8050,422,17,3.2,10.3,2.7,12.5,3.1,12.1,2.8,10.4,2.4,14.9,3.4,9.7,2.3,7.5,1.9,3.3,1.3,2.4,0.9,31969,3733,52097,3340
"Montgomery County, Alabama",89511,971,9,1,6.1,0.8,9.9,0.8,10,0.7,13.4,1.2,19,1.3,10.9,0.7,12.9,0.9,4.4,0.6,4.4,0.4,51963,1474,72022,1865
"Morgan County, Alabama",46388,695,6.6,0.9,4.7,0.8,11.6,1.3,12.1,1.5,12.8,1.1,17.7,1.6,12.9,1.2,12.7,1.2,5,0.8,3.9,1,52923,1858,70835,2876
"Perry County, Alabama",3140,252,16.9,4.2,14.5,6,22.8,6.7,12.7,5.1,12.4,5.3,9.1,4.2,4.4,2.5,7,3.8,0.1,0.3,0,1.1,23875,2564,35146,5312
"Pickens County, Alabama",7731,311,8.9,1.9,10.1,2,13.1,2.3,13.2,2.6,14,2.8,14.3,2.8,9.7,2.1,11.4,2,2.8,1.3,2.5,1.1,40362,2740,58575,4573
"Pike County, Alabama",11700,560,13.3,2.1,6.3,1.4,15.1,3.1,11.3,2.2,11.7,2.2,14.3,2.9,9.4,1.7,11.6,2.2,4.4,1,2.6,0.8,39218,3492,61289,5152
"Randolph County, Alabama",8655,330,9.2,1.9,8.5,2.3,10.3,2.5,13.1,2.8,13.4,2.7,19.5,3.1,8.6,2.3,12.2,2.4,3.4,1.3,1.8,0.9,45141,4482,59766,4196
"Russell County, Alabama",23694,494,12.5,2.2,5.9,1.5,13.2,1.9,10.5,1.7,14.3,1.8,18.9,2.3,10.1,2.1,7.9,1.7,3.8,1,2.9,1,42208,2255,57400,3613
"St. Clair County, Alabama",32765,584,5.1,1.1,3.4,0.7,9.5,1.3,8.6,1.5,13,1.6,20.6,1.9,14.3,1.9,17.5,1.9,4.8,1.1,3.2,0.9,62531,3275,73785,3326
"Shelby County, Alabama",80756,685,3.8,0.4,3,0.4,6.1,0.7,6.2,0.7,10.8,1,17.6,1.2,13.9,1,20.7,1.1,8.1,0.7,9.8,0.8,78889,2171,103042,3091
"Sumter County, Alabama",5355,229,19.2,3.9,7.3,2,20.9,4.6,11.3,3,12.2,2.7,12.8,3.3,8.1,2.2,6.6,1.9,0.8,0.7,0.7,0.5,26150,2033,40483,3057
"Talladega County, Alabama",31741,558,8.9,1.2,7.2,1.2,14,1.7,12.3,1.6,12.6,1.6,17.4,2,11.6,1.7,10.8,1.2,3.2,0.8,1.9,0.6,43969,2845,59060,3073
"Tallapoosa County, Alabama",16359,523,8.5,1.6,7.8,1.8,12.6,2.1,10.3,2.1,12.3,1.7,21.5,2.4,11.3,2,9.9,1.6,3.4,1,2.4,0.7,48160,3507,60529,3062
"Tuscaloosa County, Alabama",74713,808,8.8,0.8,5.4,0.9,9.2,0.8,9.9,1,12.8,1.2,17.8,1,12,0.9,15.2,1.3,4.6,0.5,4.2,0.6,54283,1663,71974,2201
"Walker County, Alabama",25440,444,8.2,1.1,6.9,1,13.1,1.5,9.4,1.1,15.4,1.8,17.3,1.9,13.8,1.5,10.6,1.5,3.5,0.8,1.9,0.7,45833,2723,60917,2949
"Washington County, Alabama",5830,318,10.2,3,9.8,3.2,11.4,3.3,10.8,2.7,13.5,3.1,13.2,3.1,8.1,1.9,12.8,2.7,5.2,2.6,5,2.5,42331,4919,68743,10181
"Wilcox County, Alabama",3961,214,12.9,2.8,13.1,3.4,12.9,3,11,2.7,15.6,3.3,12.9,3.2,10.4,2.8,8.2,2.5,1.4,0.8,1.6,1,35063,4497,47936,3670
"Winston County, Alabama",9612,329,7.3,1.7,8.9,1.8,16.7,2.1,13,2.2,12.7,2.5,18.1,3,10,1.8,9.3,1.9,2,1.1,1.9,0.8,40991,5537,54276,3489
"Aleutians East Borough, Alaska",988,143,3.3,1.3,3.1,1.3,9.7,2.6,7.8,2,10.2,2.8,15.2,4.3,12.1,2.7,28.7,5.9,5.4,1.7,4.4,1.5,75833,10098,85311,5112
"Aleutians West Census Area, Alaska",1306,199,1.2,1,1.3,0.7,2.5,1,4.1,1.8,7,2,21.4,5.1,21.9,4.3,21.7,3.9,9.6,2.3,9.3,2.9,87443,4734,104029,6049
"Anchorage Municipality, Alaska",106970,777,3,0.4,2.3,0.4,4.9,0.5,6.3,0.7,9.2,0.7,18.2,0.9,14.3,0.8,20.2,1.1,10.8,0.7,10.8,0.7,84813,1694,108393,1968
"Bethel Census Area, Alaska",4499,160,8.3,1.4,6.2,1.7,10.2,1.7,9.4,1.6,11.6,1.9,16.4,2.3,12.1,2.2,14.7,2.4,5.5,1.7,5.7,1.9,54400,4198,72996,4672
"Bristol Bay Borough, Alaska",284,51,2.1,1.8,0.7,1.4,7.7,2.8,6,3.3,8.5,4.8,19,6.5,16.9,5.1,22.5,6.9,7,3.7,9.5,4.2,79808,12348,96066,8464
"Chugach Census Area, Alaska",2310,162,2.7,2.7,0.9,1.2,2.8,1.9,9,3.5,12,5,14.5,4.7,19.9,5.9,21.1,7.3,7.7,3.5,9.4,3.7,90776,11147,97097,8543
"Copper River Census Area, Alaska",1063,125,4.1,2.2,8.8,5.3,6.8,3.3,5.8,3.3,9.5,5.5,21.5,6.9,7.7,3.4,22,6.7,5.6,3.5,8.1,4.2,64745,5978,86307,9597
"Denali Borough, Alaska",726,336,3.7,4.5,2.8,2.4,12.5,6,4.3,2,11.6,4.3,13.5,4.1,14.9,6.4,22.3,5.4,8.7,5.7,5.8,3.5,76364,8704,86913,10431
"Dillingham Census Area, Alaska",1430,89,5.1,1.6,4.5,1.7,10.7,2.1,10.5,2.3,13.8,2.6,18,3,14.3,3.5,13.3,2.8,7.3,2,2.4,1.9,57436,4870,70616,5900
"Fairbanks North Star Borough, Alaska",36199,770,3,0.8,2.3,0.7,5,1.1,6.9,1.3,11.6,1.9,19.8,1.9,14.4,1.8,19.3,1.6,9.3,1.3,8.4,1.4,76464,2792,98769,3827
"Haines Borough, Alaska",917,116,4.3,3.9,5,3.9,11.7,7.9,5.6,3.8,12.6,7.5,21.6,13.2,8.9,5.7,21.6,10.1,3.9,3.7,4.8,4.4,65014,13908,74548,11468
"Hoonah-Angoon Census Area, Alaska",755,82,4.8,2,6.6,2.5,10.2,3.3,5.6,2.1,15,3.6,20,4.3,12.2,4,13,3.6,8.1,2.8,4.6,2.4,59926,4692,76879,8926
"Juneau City and Borough, Alaska",12878,274,3.4,1.4,2.9,1.1,4.7,1.2,4,1,7.7,1.4,18.7,2.8,17.2,2.7,20.6,2.3,10.8,1.8,10,1.6,88077,3724,104222,4544
"Kenai Peninsula Borough, Alaska",21781,390,4.9,1.1,3.9,0.7,8.9,1.2,6.6,0.9,11.1,1.2,18.6,1.6,13.8,1.7,16.5,1.4,8.4,1.4,7.2,1.3,69245,2464,89393,4693
"Ketchikan Gateway Borough, Alaska",5299,134,3.2,1.1,3.5,1,7,1.4,7.9,1.4,11.8,1.9,16.9,1.9,13.1,1.8,18.8,2.3,10.7,1.7,7.2,1.4,74678,3876,95227,5355
"Kodiak Island Borough, Alaska",4231,195,4.1,1.8,2.5,1.1,6.2,3.1,5.2,1.9,8.2,2.7,21.1,4.2,13.3,3.8,27.2,4.8,7,2.6,5.2,2.1,79173,11727,91374,7168
"Kusilvak Census Area, Alaska",1750,89,10.3,2.9,6.7,1.8,15.1,2.6,14.9,2.8,18.9,3.7,15.5,2.2,7.6,2.3,7.7,2.7,2.1,1.6,1.1,0.7,37358,5640,47977,5815
"Lake and Peninsula Borough, Alaska",366,144,4.4,2,5.7,3,15,3.5,11.5,4.1,14.2,3.9,19.9,4.9,13.4,3.3,9.6,3.9,5.2,2.5,1.1,1.4,48750,8358,60527,5467
"Matanuska-Susitna Borough, Alaska",31964,336,5.5,0.6,3.5,0.6,6.9,0.6,7.2,0.6,9.7,0.8,16.7,1.1,13.2,0.8,19.6,1,9.7,0.7,8.1,0.7,76118,2374,94213,2374
"Nome Census Area, Alaska",2777,132,5.4,0.9,3.3,0.9,11.2,1.8,8.6,1.6,10.7,1.6,19.5,2.5,14,2.2,14.6,2.2,6.7,1.5,6,1.5,62843,3023,79890,4054
"North Slope Borough, Alaska",1991,226,5.6,2.8,2.1,0.9,9.5,3.2,4.1,1.6,8.7,2.6,17.9,3.9,13.8,3.4,20.4,4.4,10.1,3.4,7.6,2.9,79083,11750,92121,9125
"Northwest Arctic Borough, Alaska",1795,76,6.9,1.7,4,1.4,8.5,1.8,8.1,1.7,12.5,2.4,17.3,3,10.3,2.5,15.5,3.4,10.4,3,6.6,2.2,63750,6028,83830,5184
"Petersburg Borough, Alaska",1204,96,2.7,1.1,2.7,1.6,9.6,2.7,12.5,3.1,8.5,3.1,22,6.1,13.1,3.3,13.6,3.1,7,2.2,8.3,3.3,68667,4474,85919,7942
"Prince of Wales-Hyder Census Area, Alaska",2353,87,6.8,1.9,4.7,1.5,10.6,1.7,9.8,1.6,15.1,2.6,16.4,2.6,12.6,2,15.3,2,6.2,2,2.5,0.9,54018,3164,69168,4130
"Sitka City and Borough, Alaska",3572,128,2.7,1.1,3.3,1.3,6.3,1.8,6.5,1.8,10.3,2.3,17.4,2.7,19,3.5,17.3,3,10.6,2.6,6.4,2.2,81708,6571,93666,5546
"Skagway Municipality, Alaska",411,82,1,0.8,0.5,0.7,2.2,1.9,18.5,11,10,3.2,20,4.8,19.2,5.3,20.4,5.4,4.9,2.2,3.4,2.1,71875,12021,80986,8553
"Southeast Fairbanks Census Area, Alaska",2287,114,4.2,1.6,6.8,2.3,12.2,3.4,6.6,2.4,10.4,2.9,15.6,3.5,13.5,3.3,20.3,4.1,6.1,2.6,4.4,2.1,66941,7670,78720,5423
"Wrangell City and Borough, Alaska",989,94,3.4,1.8,1.8,1.4,10.1,3.3,9.2,3.7,17.2,4.5,20.1,4.5,10.7,3.3,19.9,5.4,4.8,2.8,2.7,1.6,58438,8863,74848,6651
"Yakutat City and Borough, Alaska",221,36,2.7,2.9,1.4,1.4,6.3,4.7,5.4,2.7,10.9,5.8,36.7,10,14,4.9,16.3,7.8,5.4,4.4,0.9,1,59517,4015,72258,5917
"Yukon-Koyukuk Census Area, Alaska",1857,84,12.5,2.4,6.7,1.5,14,2.7,11.3,1.8,13,2,17.6,2,10.9,2.1,7,1.3,5,1.5,2,1.4,41728,4712,55834,4632
"Apache County, Arizona",21505,420,21.3,1.4,6.1,0.7,12.1,1.3,11.4,1.4,13.5,1.5,14.8,1.5,9.3,1.5,8.4,1.1,2.2,0.6,0.6,0.3,33967,2108,45641,1310
"Cochise County, Arizona",50917,825,6.4,1.1,6.2,0.9,11.5,1,10,0.9,14.1,1.1,19.5,1.4,12.6,1.1,12.6,1,4.3,0.6,2.8,0.5,51505,1147,66022,1807
"Coconino County, Arizona",49016,859,8.1,1,4.9,0.8,9.2,1.2,7.7,0.9,12.2,1.2,19.6,1.5,13.2,1.2,13.7,1.2,6.1,0.8,5.2,0.6,59000,1900,77748,2689
"Gila County, Arizona",22523,597,8.3,1.4,6.1,1.2,10.9,1.7,12.3,1.8,15.1,1.9,18.5,2.2,12.9,1.6,9.7,1.2,3.7,1,2.5,0.8,46907,3169,61525,2995
"Graham County, Arizona",11348,319,7.9,1.7,5.4,1.3,9.1,2.1,10.7,2,12.2,1.7,21.3,2.4,14.9,2.7,13,1.9,3.6,1.1,1.8,0.8,55693,3071,63550,2558
"Greenlee County, Arizona",3295,200,3.6,2.3,4.6,2.4,5.4,2.1,7.8,2.7,13,4.2,30.1,4.8,12.7,3,16.6,4.2,3.8,2,2.5,1.4,66368,2017,75758,7586
"La Paz County, Arizona",9928,443,15.7,4.1,9.4,4.1,13.8,3.7,11.1,2.6,13.9,3.4,18.2,3.9,8.9,1.9,6.5,1.8,0.9,0.6,1.6,0.8,34956,5708,48535,4185
"Maricopa County, Arizona",1596784,3938,5,0.2,3.1,0.1,7.3,0.2,8.2,0.2,12.7,0.2,18.4,0.2,13.6,0.2,16.6,0.2,7.1,0.2,8.1,0.2,67799,444,93108,720
"Mohave County, Arizona",90413,1147,6.3,0.7,5,0.6,12.6,1,12.1,1,16.2,1.2,20.1,1.1,11.9,1,10,0.7,3.3,0.4,2.5,0.4,47686,1355,63434,2265
"Navajo County, Arizona",36406,822,12.4,1.1,5.5,0.8,12,1.3,12.2,1.2,14.7,1.4,17.5,1.4,10.6,1.1,9.8,1.1,3.8,0.7,1.4,0.4,43140,2357,56393,1988
"Pima County, Arizona",410942,1914,6.8,0.3,4.6,0.3,10.3,0.5,9.7,0.4,14.2,0.4,18.1,0.5,12.7,0.4,13.4,0.4,5.2,0.3,5,0.3,55023,785,75662,924
"Pinal County, Arizona",148435,1525,5.9,0.5,3.3,0.5,8.6,0.6,9.3,0.7,13.2,0.9,20.7,1.1,14.2,0.7,16.1,1,5,0.4,3.7,0.5,60968,1223,78127,3414
"Santa Cruz County, Arizona",16049,355,9.3,1.9,6.5,1.7,11.3,1.8,16.7,2.8,13.1,2.2,16.6,2.5,10.4,2,9.3,2,3.1,0.9,3.7,1,41424,2990,62101,4722
"Yavapai County, Arizona",101245,988,5.9,0.7,4.4,0.7,11.4,0.9,10.6,1,14.5,1,20.8,1.5,12.2,0.9,12.2,0.9,3.8,0.5,4.1,0.7,53329,1470,70548,2409
"Yuma County, Arizona",74624,1047,8.2,0.8,4.8,0.7,12,1.1,11.6,1,14.3,1,18.6,1.1,13.9,1.5,10.8,0.9,3.6,0.6,2.2,0.4,48790,1981,63925,2100
"Arkansas County, Arkansas",7416,273,9.6,2.4,8.3,2,11.1,2.3,8.3,1.8,10.9,1.8,22.2,3.7,10.4,2.5,12.7,2.7,4.3,1.3,2.2,0.9,51000,1670,63537,4226
"Ashley County, Arkansas",7716,261,7.2,2.2,8.4,2.2,16,3.2,9.3,2.4,14.3,2.6,17,2.9,14.7,3.5,9.3,2.8,1.3,0.6,2.3,1,43601,4608,59468,5392
"Baxter County, Arkansas",18727,414,5.4,1.3,4.2,1,14.1,2.1,14.5,1.9,17.9,1.7,20.6,2.4,9.9,1.5,7.9,1.5,3.4,1.1,2,0.8,43504,2832,61420,4551
"Benton County, Arkansas",99661,734,3.7,0.5,3,0.4,7,0.7,7.3,0.5,11.4,0.9,19.5,1.1,16.1,1.1,16.2,1,6.6,0.6,9.2,0.8,71556,2042,99006,3614
"Boone County, Arkansas",15043,333,7.1,1.9,5.9,1.6,11.5,1.7,12.3,1.8,16.5,2,18.4,2.4,12.5,2,10.7,2.1,2.7,1,2.4,1,46392,2981,60654,3368
"Bradley County, Arkansas",4233,225,11.2,2.7,5.2,1.8,13,2.7,11.6,3.2,17.5,3.4,16.7,3.4,9.8,3,9.9,2.9,3.4,1.4,1.7,1,41808,3774,54942,4565
"Calhoun County, Arkansas",1754,146,9.1,3.8,3.8,2.1,11.3,3.7,10.5,3.6,14.6,4.2,21,4.7,12.1,5,10.2,3.3,7.1,5,0.2,0.3,50441,4001,60922,7177
"Carroll County, Arkansas",11079,413,7,2.1,7.1,1.9,12.8,2.5,12.9,2.3,11.4,2.3,20.2,3.2,12.6,2.6,9.2,2.4,3,1.2,3.9,1.8,48249,5253,64804,6694
